Area,name,id,category,location,restaurant
"Wichita, Kansas",SONIC Drive In,4c29549b3492a593e9d9b828,"{'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/fastfood_', 'suffix': '.png'}","(37.5455672784531, -97.2447524964809)",True
"Wichita, Kansas",IHOP,56c7106a498e8a0c7143e403,"{'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/breakfast_', 'suffix': '.png'}","(37.6062509, -97.3259611)",True
"Wichita, Kansas",Hibachi Boy,51c39c11498e3d4cfb0f0399,"{'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/japanese_', 'suffix': '.png'}","(37.558304263517876, -97.2438182464627)",True
"Wichita, Kansas",Wendy’s,4ba3b4def964a520ac5638e3,"{'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/fastfood_', 'suffix': '.png'}","(37.55731329119061, -97.2449288555299)",True
"Wichita, Kansas",QuikTrip,4de1ba948877bcb686347a20,"{'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/conveniencestore_', 'suffix': '.png'}","(37.60751543712365, -97.3167577150223)",False
"Wichita, Kansas",Derby Recreation Center,4bc26671920eb71309391c2c,"{'prefix': 'https://ss3.4sqi.net/img/categories_v2/building/gym_', 'suffix': '.png'}","(37.54301822273284, -97.26134198452382)",False
"Wichita, Kansas",Good Fortune Chinese Restaurant,4c3f51e33735be9a113615a4,"{'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/asian_', 'suffix': '.png'}","(37.549258, -97.270849)",True
"Wichita, Kansas",Hobby Lobby,561d8d4c498e6af1a24af08a,"{'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/artstore_', 'suffix': '.png'}","(37.5649437, -97.2411057)",False
"Wichita, Kansas",Gupton's Pets & Supplies,4b784c2af964a5203ec32ee3,"{'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/pet_store_', 'suffix': '.png'}","(37.64178, -97.27911)",False
"Wichita, Kansas",Dillons,4bbfa90fabf49521200bbe93,"{'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/food_grocery_', 'suffix': '.png'}","(37.6090115, -97.3355436)",True
"Wichita, Kansas",Chipotle Mexican Grill,5671f57b498e3819666cfcd8,"{'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/mexican_', 'suffix': '.png'}","(37.564432, -97.243499)",True
"Wichita, Kansas",QuikTrip,4b70bcc3f964a5204c2c2de3,"{'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/conveniencestore_', 'suffix': '.png'}","(37.57768855195212, -97.24509428733705)",False
"Wichita, Kansas",QuikTrip,4ba85f3cf964a5206fd839e3,"{'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/conveniencestore_', 'suffix': '.png'}","(37.56207837724965, -97.27513185421434)",False
"Wichita, Kansas",OJ Watson Park,4bdd8268cd51b71337ec3af1,"{'prefix': 'https://ss3.4sqi.net/img/categories_v2/parks_outdoors/park_', 'suffix': '.png'}","(37.64179418411052, -97.33785121603695)",False
"Wichita, Kansas",KwikShop,4cf01e787e0da1cd557d8997,"{'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/conveniencestore_', 'suffix': '.png'}","(37.622990230085136, -97.31611554622674)",False
"Wichita, Kansas",McConnell AFB BX,4cb46543aef16dcbcd81ce54,"{'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/departmentstore_', 'suffix': '.png'}","(37.63006849709826, -97.24874128494214)",False
"Wichita, Kansas",El Maguey,575365e1498e788999da078e,"{'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/mexican_', 'suffix': '.png'}","(37.557796775108606, -97.24496042013293)",True
"Wichita, Kansas",Carlos O'Kelly's,4bbf5d0d85fbb713650a7267,"{'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/mexican_', 'suffix': '.png'}","(37.60594072692078, -97.33325947174184)",True
"Wichita, Kansas",Ulta Beauty - Curbside Pickup Only,5bf83e61a6031c002c48645e,"{'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/beauty_cosmetic_', 'suffix': '.png'}","(37.5666776, -97.2412928)",False
"Wichita, Kansas",Madrocks Sports Bar,4baa2b59f964a5200d503ae3,"{'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/sportsbar_', 'suffix': '.png'}","(37.547911941778594, -97.24287595685334)",False
"Wichita, Kansas",Panera Bread,4ec0fafbe3005ff92a3ad196,"{'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/bakery_', 'suffix': '.png'}","(37.5629615, -97.2439175)",True
"Wichita, Kansas",Dollar General,4eac259502d52c460b8a3961,"{'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/discountstore_', 'suffix': '.png'}","(37.60615719363812, -97.29322671890257)",False
"Wichita, Kansas",Braum's Ice Cream & Dairy Stores,4db606010cb6729b6ab12150,"{'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/icecream_', 'suffix': '.png'}","(37.6500899, -97.33333295)",True
"Wichita, Kansas",Starbucks,5197d959498e730770440c97,"{'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/coffeeshop_', 'suffix': '.png'}","(37.56848744037759, -97.24381094408932)",True
